Brand,Store Number,Store Name,Ownership Type,Street Address,City,State/Province,Country,Postcode,Phone Number,Timezone,GMT Timezone,Longitude,Latitude
Starbucks,25944-239829,City Express Aguascalientes,Licensed,"Blvd J Ma. Chavez No 1919,  San Pedro",Aguascalientes,AGU,MX,20280,,GMT-06:00 America/Mexico_City,GMT-06:00,-102.29,21.84
Starbucks,17065-178804,Plaza Las Palmas,Licensed,"Av. Universidad No. 2229-A, Col. San José del Arenal",Aguascalientes,AGU,MX,20130,,GMT-06:00 America/Mexico_City,GMT-06:00,-102.31,21.91
Starbucks,32131-114607,Altaria,Licensed,2 Rancho Las Trojes de Alonso,Aguascalientes,AGU,MX,,,GMT-06:00 America/Mexico_City,GMT-06:00,-102.29,21.92
Starbucks,32750-137046,Asuncion,Licensed,Blvd. Jose Maria Chavez No. 1531,Aguascalientes,AGU,MX,20234,,GMT-06:00 America/Mexico_City,GMT-06:00,-102.29,21.86
Starbucks,32110-119599,Colosio,Licensed,"101 Prolongacion Ignacio Zaragoza, Fraccionamiento Valle de las Trojes",Aguascalientes,AGU,MX,20115,,GMT-06:00 America/Mexico_City,GMT-06:00,-102.3,21.92
Starbucks,16701-173887,Macroplaza Ensenada,Licensed,"Pedro Loyola No 612 Locales A-02, 03, 04, Col. Carlos Pacheco",Ensenada,BCN,MX,22832,,GMT-08:00 America/Tijuana,GMT-08:00,-116.6,31.84
Starbucks,38265-114605,Ensenada Malecon,Licensed,678 Boulevard Costero Lazaro Cardenas,Ensenada,BCN,MX,22800,,GMT-08:00 America/Tijuana,GMT-08:00,-116.63,31.86
Starbucks,32418-132854,Lienzo,Licensed,Calzada Manuel Gomez Morin 799,Mexicali,BCN,MX,21259,,GMT-08:00 America/Tijuana,GMT-08:00,-115.41,32.65
Starbucks,21909-216025,Mexicali Plaza del Valle,Licensed,"Blvd. Lazaro Cardenas n.1801, Zona Industrial",Mexicali,BCN,MX,21090,,GMT-08:00 America/Tijuana,GMT-08:00,-115.46,32.62
Starbucks,16196-166687,Mexicali Centinela,Licensed,"Calz. Lopez Mateos esq. Calle Alfarero, Lote s/n Seccion A Porcion Sur Manzana 7",Mexicali,BCN,MX,44556,,GMT-08:00 America/Tijuana,GMT-08:00,-115.51,32.62
Starbucks,32645-136562,Galerias del Valle,Licensed,"Prolongacion Lazaro Cardenas, Carretera a Tijuana, Local 51",Mexicali,BCN,MX,21259,,GMT-08:00 America/Tijuana,GMT-08:00,-115.51,32.62
Starbucks,32108-119584,Plaza Centenario,Licensed,"Benito Juarez Boulevard y Lazario, Cardenas sin, Fracc. Residencias",Mexicali,BCN,MX,21330,,GMT-08:00 America/Tijuana,GMT-08:00,-115.44,32.63
Starbucks,21191-209751,Paseo Chapultepec Tijuana,Licensed,"Lote 0001 Mza F Blvd Agua Caliente 10387, Chapultepec, Carretera Aeropuerto",Tijuana,BCN,MX,22420,,GMT-08:00 America/Tijuana,GMT-08:00,-117.01,32.51
Starbucks,15298-159705,Tijuana Airport Inside,Licensed,"S/N Col. Nueva Tijuana, Delegacion Meza de Otay",Tijuana,BCN,MX,22435,,GMT-08:00 America/Tijuana,GMT-08:00,-116.98,32.54
Starbucks,31869-114908,Paseo de los Heroes,Licensed,"Paseo de los Heroes , Zona Rio",Tijuana,BCN,MX,22320,,GMT-08:00 America/Tijuana,GMT-08:00,-117.01,32.52
Starbucks,32149-114975,Playas de Tijuana,Licensed,1302 Paseo del Pedregal,Tijuana,BCN,MX,22700,,GMT-08:00 America/Tijuana,GMT-08:00,-117.12,32.53
Starbucks,20439-205549,Aeropuerto Tijuana II,Licensed,Carretera Aeropuerto s/n Col. Nueva,TIJUANA,BCN,MX,22435,,GMT-08:00 America/Tijuana,GMT-08:00,-116.98,32.54
Starbucks,32133-113704,Tijuana Salinas,Licensed,Boulevard Salinas,Tijuana,BCN,MX,,,GMT-08:00 America/Tijuana,GMT-08:00,-117.01,32.51
Starbucks,28015-249492,Apto. Tijuana Exterior,Licensed,"Carretera Aeropuerto s/n nueva, Tijuana",Tijuana,BCN,MX,22435,,GMT-08:00 America/Tijuana,GMT-08:00,-116.95,32.54
Starbucks,31931-113585,Plaza Rio Tijuana,Licensed,"Paseo de los Heroes Zona Rio, Local 19",Tijuana,BCN,MX,,,GMT-08:00 America/Tijuana,GMT-08:00,-117.02,32.53
Starbucks,29033-252215,Camino Real Tijuana,Licensed,"Paseo de Los Heroes #9902, Colonia Zona Rio",Tijuana,BCN,MX,22010,,GMT-08:00 America/Tijuana,GMT-08:00,-117.03,32.53
Starbucks,15296-159704,Macroplaza Tijuana,Licensed,"Blvd CorredorTijuana Rosarito, No. 21015",Tijuana,BCN,MX,22710,,GMT-06:00 America/Mexico_City,GMT-06:00,-99.23,19.51
Starbucks,29669-254834,Hipodromo Caliente,Licensed,"Calle Hipodromo #12027-0, Col. Hipodromo Aguacaliente",Tijuana,BCN,MX,22024,,GMT-08:00 America/Tijuana,GMT-08:00,-117,32.51
Starbucks,17483-182364,Marina Cabo San Lucas,Licensed,"Boulevard Marina Lote 7-D, Col La Marina",Cabo San Lucas,BCS,MX,23453,,GMT-07:00 America/Hermosillo,GMT-07:00,-109.91,22.89
Starbucks,17257-180645,Plaza La Paz,Licensed,"Blvd. Pino Payas y Carreterra La Paz, Cd. Constitucion Local L100",La Paz,BCS,MX,23090,,GMT-07:00 America/Hermosillo,GMT-07:00,-110.34,24.12
Starbucks,19085-198605,La Paz Soriana,Licensed,"Calzada Forjadores de Sudcalifornia, N. 38, 39 y 40, Ex- Base Aérea",La Paz,BCS,MX,23050,,GMT-07:00 America/Hermosillo,GMT-07:00,-110.31,24.13
Starbucks,1898-141665,Marina Los Cabos,Licensed,Blvd. Paseo de la Marina,Los Cabos,BCS,MX,23410,,GMT-07:00 America/Hermosillo,GMT-07:00,-109.91,22.89
Starbucks,2103-141452,CM Los Cabos,Licensed,Blvd. Nauricio Castro no. 4650 Col.,Los Cabos,BCS,MX,23400,,GMT-07:00 America/Hermosillo,GMT-07:00,-109.71,23.04
Starbucks,18205-188644,Aeropuerto Los Cabos  II,Licensed,"Carretera Transpenínsular, s/n km 43.5, Municipio San Jose del Cabo, B.C.S.",Los Cabos,BCS,MX,23420,,GMT-07:00 America/Hermosillo,GMT-07:00,-109.71,23.13
Starbucks,9035-151831,Aeropuerto Los Cabos 1,Licensed,Carretera Transpeninsular s/n km 43.5,Los Cabos,BCS,MX,23420,,GMT-07:00 America/Hermosillo,GMT-07:00,-109.71,23.13
Starbucks,25757-242315,Plaza Peninsula Cabo,Licensed,"Carr. Transpeninsular km 29.5, Colonia La Jolla",San Jose del Cabo,BCS,MX,23406,,GMT-07:00 America/Hermosillo,GMT-07:00,-109.71,23.04
Starbucks,20432-205546,Galerias Campeche,Licensed,"Av Pedro Sainz de Barranda s/n  esq., Av. Darsena",CAMPECHE,CAM,MX,24014,,GMT-06:00 America/Mexico_City,GMT-06:00,-90.52,19.86
Starbucks,22225-218845,Zentralia Ciudad del Carmen,Licensed,"Av. Luis Donaldo Colosio # 58, Col. Limonar",Ciudad del Carmen,CAM,MX,24180,,GMT-06:00 America/Mexico_City,GMT-06:00,-91.81,18.65
Starbucks,32607-126546,Periferico de la Juventud,Licensed,Blvd de la Juventud #5905,Chihuahua,CHH,MX,31238,,GMT-06:00 America/Mexico_City,GMT-06:00,-106.12,28.62
Starbucks,18492-188944,Citadela Chihuahua,Licensed,"Av. Periferico de la Juventud #5700, Desarrollo El Saucito",Chihuahua,CHH,MX,3114,,GMT-06:00 America/Mexico_City,GMT-06:00,-106.13,28.66
Starbucks,32622-136956,Plaza del Sol - Chihuahua,Licensed,Plaza del Sol Mall,Chihuahua,CHH,MX,,,GMT-06:00 America/Mexico_City,GMT-06:00,-103.4,20.65
